"attacker_name","attacker_id","Assist","Attacked","Escape","Hospitalized","Interrupted","Lost","Mugged","Stalemate","war","retals","overseas","avg_fair_fight","warlord_hits"
"AlexDJ88","2850583",2,47,0,2,2,4,0,0,49,2,38,1.36,0
"Angzee","3443655",0,11,0,0,0,3,0,0,11,0,7,1.75,0
"Ardargoz","2336361",17,45,0,3,3,7,0,0,46,2,0,1.51,48
"Atrium601","2311869",0,107,0,10,0,1,0,1,117,2,4,2.16,0
"Bayonetta","1874354",0,19,0,1,0,0,0,0,20,0,20,1.38,0
"BigDickSwinger","3212671",0,44,0,0,1,4,0,0,44,0,0,1.53,43
"BigDre96","2740244",2,98,0,2,1,9,0,0,99,1,3,1.45,0
"Combatant","2771724",1,19,0,1,0,1,22,0,18,0,8,1.26,0
"DDisme","3373563",6,115,0,1,5,13,0,0,116,0,0,1.59,103
"Deathholder","2703657",16,23,0,8,0,13,0,0,28,3,2,1.5,2
"Drodro","3429762",2,3,0,0,0,1,0,0,3,0,0,1.18,3
"Elzeothis","2961389",18,77,0,18,9,13,2,2,83,6,0,2.23,0
"Freydis","2851202",0,24,0,0,0,0,0,0,24,0,24,1.06,0
"Fyasko","2662062",1,14,0,0,0,0,1,0,14,0,1,1.54,0
"Ghosts","2658805",6,68,2,28,0,20,0,1,79,9,10,1.78,0
"GoRE_Erebus","3331969",17,25,0,0,1,15,0,1,25,0,0,1.55,21
"Habeeb374920","2443535",0,44,0,0,1,10,0,0,44,0,0,1.73,0
"Hank-chill","2654686",8,59,0,4,1,8,0,0,63,0,0,1.59,0
"HelmutDude","2662553",1,20,0,0,0,4,0,0,20,0,1,1.28,0
"Iapetus_411","3393752",2,111,1,0,0,4,0,4,83,0,0,1.48,91
"IchBinMilo","2539966",0,26,1,0,1,1,0,0,26,0,0,1.14,0
"ItsFGx","3529663",0,32,0,0,0,6,5,0,21,0,10,2.41,0
"Joe-Mangano","1898997",0,0,0,0,0,2,0,0,0,0,0,1,0
"JokersGirl8","3613211",1,9,0,0,0,3,0,0,1,0,8,1.44,0
"Jonzee","3256825",4,105,0,5,0,4,1,2,109,1,2,1.6,0
"Keiran","1715158",0,83,0,3,1,8,4,0,41,0,4,1.29,0
"Kilgara101","3362807",3,88,0,1,2,10,0,1,89,1,9,1.64,74
"Koheed","3014467",0,65,0,1,0,5,0,0,66,0,28,1.33,0
"MyKogInHisAshe","2560259",0,89,0,0,0,5,0,0,12,0,4,2.76,11
"Nomadenn","3501947",8,101,0,12,0,5,0,0,101,0,0,1.27,0
"Osibin","3530026",0,5,1,0,0,1,0,0,5,0,0,1.7,0
"PraiseX","3979416",0,2,0,2,1,1,0,0,4,0,0,2.17,2
"RawDog1549","3164211",7,91,2,6,2,20,0,0,97,2,0,1.63,64
"ScarfaceQc","2752358",0,29,0,0,1,2,0,1,28,0,0,1.51,0
"TF2Royal","3212572",2,65,0,0,0,7,0,0,64,0,0,1.5,0
"TrickyTom","2211446",2,81,0,0,0,4,0,0,81,0,0,1.95,79
"Winkzxii","3317438",3,62,0,2,0,0,0,0,64,1,0,1.53,64
"WoosterWeapon","3469258",0,59,1,0,0,3,0,0,59,0,59,1.91,0
"_ballsdeep69","3212712",0,1,0,0,0,0,0,0,1,0,0,3,0
"gshock77","1694867",0,38,0,1,0,8,0,0,39,1,19,1.83,32
"kingsmokey15","3684463",0,0,0,1,0,0,0,0,1,0,0,3,0
"kinhaszik","3480133",0,49,0,1,2,0,0,0,41,0,0,2.17,0
"rockerguy86","2614173",0,11,0,0,0,4,0,0,11,0,0,1.74,0
"vikingbull","702780",3,91,0,40,0,0,0,2,130,25,0,2.05,0
